Individual ID;Latitude (°);Longitude (°);Collection date;Herbarium/ Collector;Sample age class;Extraction method;Lib prep method;Sequencing platform and chemistry;SRA accession code;Spatial group assignment;Population assignmnent;reason if excluded from final analysis;note
JE-9;52,1967;10,468557;1885;JE;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385499, ERR7385525;diffuse;Europe (Mideast);;
LD-1;55,704729;13,203255;1806;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385508;-;-;different species or hybrid;
LD-11A;52,481438;13,838353;1911;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385510, ERR7385509;-;-;different species or hybrid;
LD-11B;52,481438;13,838353;1911;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385532, ERR7385529;-;-;different species or hybrid;
LD-12B;52,481438;13,838353;1913;LD;Herbarium;This study;This study (BEST);NovaSeq PE150, NovaSeq PE100;ERR7385512, ERR7385511;-;-;different species or hybrid;
LD-17A;55,527437;12,924017;1932;LD;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385520, ERR7385524;-;-;different species or hybrid;
LD-23;56,00441;14,1607;1909;LD;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385522, ERR7385523;diffuse;Europe (West);;
LD-3;59,759261;18,705302;1878;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385507, ERR7385514;diffuse;Europe (East);;
LD-4;52,376083;9,737094;1889;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385517, ERR7385521;diffuse;Europe (Mideast);;
LD-8;55,686482;12,573908;1897;LD;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385516, ERR7385515;diffuse;Europe (Mideast);;
LY-001;45,589983;4,319512;1879;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385586, ERR7385581;FR Lyon 1: St Galmier;Europe (Mideast);;
LY-002;45,589983;4,319512;1879;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385579, ERR7385583;FR Lyon 1: St Galmier;Europe (Mideast);;
LY-008;48,432531;0,091957;1883;LY;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385519;diffuse;Europe (Mideast);;
LY-028;52,480942;13,840528;1899;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385598, ERR7385584;-;-;different species or hybrid;
LY-041;45,589983;4,319512;1878;LY;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385526, ERR7385527;FR Lyon 1: St Galmier;Europe (Mideast);;
LY-042;45,589983;4,319512;1878;LY;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385531, ERR7385530;-;-;related to LY-002;
LY-067;45,67438;4,814496;1900;LY;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385578, ERR7385573;FR Lyon 1: St Galmier;Europe (Mideast);;
LY-068;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385582;FR Lyon 2: Caluire;Europe (Mideast);;
LY-070;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385580;FR Lyon 2: Caluire;Europe;;
LY-077;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385587, ERR7385589;FR Lyon 2: Caluire;Europe;;
LY-078;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385577, ERR7385588;FR Lyon 2: Caluire;Europe;;
LY-079;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385596, ERR7385591;FR Lyon 2: Caluire;Europe;;
LY-082;45,589983;4,319512;1893;LY;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385575, ERR7385576;FR Lyon 1: St Galmier;Europe (Mideast);;
LY-083;46,153621;4,630976;1878;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385585, ERR7385606;FR Lyon 2: Caluire;Europe;;
LY-084;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385620, ERR7385597;FR Lyon 2: Caluire;Europe;;
LY-085;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385631;FR Lyon 2: Caluire;Europe;;
LY-086;46,153621;4,630976;1877;LY;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385607, ERR7385604;FR Lyon 2: Caluire;Europe;;
MAR-03;43,313475;5,439839;1915;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385590, ERR7385600;-;-;different species or hybrid;
MAR-04;43,29989;5,482626;1915;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385609;-;-;different species or hybrid;
MAR-05;43,282215;5,515635;1933;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385612, ERR7385592;FR Montpellier;Europe (East);;
MAR-06;43,475773;5,167309;1908;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385629, ERR7385619;FR Montpellier;Europe (West);;
MAR-08;44,899618;-0,51652;1930;MARS;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385594, ERR7385595;FR Bordaux;Europe;;
MAR-09;43,475773;5,167309;1908;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385611, ERR7385618;FR Montpellier;Europe (West);;
MAR-10;43,475773;5,167309;1908;MARS;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385601, ERR7385602;-;-;different species or hybrid;
MAR-13;43,305007;5,417682;1928;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385599, ERR7385623;-;-;related to MAR-14;
MAR-14;43,305007;5,417682;1928;MARS;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385603, ERR7385613;FR Montpellier;Europe (West);;
MAR-22;45,678825;4,702644;1920;MARS;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385617, ERR7385608;FR Lyon 1: St Galmier;Europe (Mideast);;
mb-100;29,240597;-96,199908;1901;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412564;-;-;different species or hybrid;
mb-101;26,080005;-97,209148;1932;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412563;-;-;different species or hybrid;
mb-104;39,977436;-75,161819;1875;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Barreiro et al., 2017);HiSeq4000 PE150, HiSeqX PE150;ERR3597297, ERR7385642;PA Philadelphia;East;;
mb-105;45,585765;-122,783947;1927;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412523, ERR7412521;diffuse;East?;;
mb-106;40,138256;-98,051834;1894;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412524, ERR7412525;diffuse;West;;
mb-108;32,331934;-106,782074;1906;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412528, ERR7412530;diffuse;Mideast?;;
mb-111;26,835276;-81,093106;1930;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412536, ERR7412533;FL South;South;;
mb-19;38,660475;-90,230141;1875;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412556, ERR7412561;MO St Louis;Mideast;;
mb-20;38,50501;-90,675931;1890;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412538, ERR7412557;MO St Louis;Mideast;;
mb-23;39,371816;-90,904927;1897;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412531, ERR7412532;diffuse;Mideast;;
mb-24;38,660475;-90,230141;1891;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412554, ERR7412558;MO St Louis;Mideast;;
mb-31;38,50501;-90,675931;1886;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412542, ERR7412548;MO St Louis;Mideast;;
mb-34;36,796729;-93,060908;1899;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412546, ERR7412539;diffuse;Mideast;;
mb-43;35,98723;-83,92067;1898;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412540, ERR7412544;diffuse;Mideast;;
mb-44;30,712072;-101,204195;1921;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412541, ERR7412552;-;-;different species or hybrid;
mb-62;41,322576;-88,989615;1921;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412569;diffuse;Mideast;;
mb-63;41,868845;-87,651901;1912;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412570;diffuse;Mideast;;
mb-65;41,433615;-91,044502;1924;MO;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150;ERR3597296;diffuse;Mideast;;
mb-70;42,297958;-71,42561;1888;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412562, ERR7412560;MA Boston;East;;
mb-79;43,76479;-91,568055;1912;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412550, ERR7412551;diffuse;Mideast;;
mb-83;26,491208;-82,012625;1916;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412573;diffuse;South;;
mb-86;28,046046;-82,304535;1904;MO;Herbarium;Martin et al., 2014;NEBNext (Bieker et al., 2020);HiSeq4000 PE150, HiSeqX PE150;ERR3597293, ERR7385637;diffuse;South;;
mb-87;41,575029;-72,649269;1835;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Barreiro et al., 2017);HiSeq4000 PE150;ERR3597295;-;-;Sequencing depth (MAPQ 25) < 0.1;
mb-88;40,597948;-105,082283;1896;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412549, ERR7412553;diffuse;West;;
mb-90;42,029226;-93,624516;1904;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412571;IA Ames;West;;
mb-91;39,197833;-96,570625;1898;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412568;diffuse;West;;
mb-92;39,251285;-96,66657;1895;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412566;diffuse;West;;
mb-93;39,197833;-96,570625;1888;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412572;diffuse;West;;
mb-95;42,029226;-93,624516;1896;MO;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeqX PE150;ERR7412567;IA Ames;West;;
mb-98;38,891353;-80,233383;1895;MO;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412565;diffuse;Mideast;;
MON-003;45,793295;4,839774;1901;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385605, ERR7385615;FR Lyon 1: St Galmier;Europe (Mideast);;
MON-020;44,902942;-0,529623;1930;MPU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385659, ERR7385649;FR Bordaux;Europe;;
MON-024;47,335584;0,684556;1936;MPU;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385610, ERR7385616;diffuse;Europe (Mideast);;
MON-025;48,882767;2,17693;1914;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385621, ERR7385622;diffuse;Europe (Mideast);;
MON-026;44,837789;-0,57918;1929;MPU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385665, ERR7385644;FR Bordaux;Europe (Mideast);;
MON-032;43,296482;5,36978;1916;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385660, ERR7385661;FR Montpellier;Europe (Mideast);;
MON-035;44,902942;-0,529623;1920;MPU;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385673, ERR7385666;FR Bordaux;Europe (East);;
MON-039;50,816406;4,426518;1955;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385627, ERR7385628;diffuse;Europe (Mideast);;
MON-040;43,70257;-0,927197;1952;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385624;diffuse;Europe (West);;
MON-041;45,62729;6,849464;1927;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385630, ERR7385632;diffuse;Europe (West);;
MON-054;48,351561;-1,204626;1933;MPU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385633, ERR7385645;diffuse;Europe (Mideast);;
NAT-002;52,2167;5,9667;1875;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3597471, ERR3598673;NL Appeldorn;Europe;;
NAT-003;52,2167;5,9667;1875;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3597478;NL Appeldorn;Europe;;
NAT-004;51,95;5,2333;1875;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385626, ERR7385625;diffuse;Europe (East);;
NAT-005;52,2167;5,9667;1878;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3597481;NL Appeldorn;Europe (Mideast);;
NAT-007;47,2667;11,4;1883;L;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385635, ERR7385636;AU Innsbruck;Europe (Mideast);;
NAT-008;47,2667;11,4;1883;L;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385638, ERR7385669;AU Innsbruck;Europe (Mideast);;
NAT-009;48,144814;6,7896;1888;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385639, ERR7385640;diffuse;Europe (Mideast);;
NAT-010;52,375892;9,73201;1892;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385641, ERR7385643;diffuse;Europe (Mideast);;
NAT-011;52,25;6,2;1893;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3598600;NL Appeldorn;Europe (Mideast);;
NAT-012;52,25;6,2;1893;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3601422;NL Appeldorn;Europe (East);;
NAT-013;52,25;6,2;1893;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3601441;NL Appeldorn;Europe (East);;
NAT-017;52,25;6,2;1893;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3600831, ERR3601480;NL Appeldorn;Europe (East);;
NAT-023;52,2167;5,9667;1894;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3598356;NL Appeldorn;Europe (West);;
NAT-025;49,4883;8,4647;1894;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385634, ERR7385656;diffuse;Europe (East);;
NAT-026;52,2167;5,9667;1895;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3602087;NL Appeldorn;Europe;;
NAT-027;52,2167;5,9667;1895;L;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7385680, ERR7385646;NL Appeldorn;Europe;;
NAT-032;51,8667;10,9;1896;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385647, ERR7385648;diffuse;Europe (Mideast);;
NAT-034;52,15;5,3833;1897;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385654, ERR7385653;diffuse;Europe (East);;
NAT-052;52,1;4,2833;1902;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385679, ERR7385658;diffuse;Europe (Mideast);;
NAT-056;52,1667;4,3833;1903;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385670, ERR7385655;diffuse;Europe (East);;
NAT-057;52,097104;5,9704;1904;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385664, ERR7385650;NL Appeldorn;Europe (East);;
NAT-060;52;6;1906;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412353, ERR7385651;NL Appeldorn;Europe (Mideast);;
NAT-061;52;6;1906;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385657, ERR7385652;-;-;related to NAT-060;
NAT-072;52;6;1918;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385662, ERR7385663;NL Appeldorn;Europe (Mideast);;
NAT-080;51,9833;5,9167;1926;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7392278, ERR7386283;NL Appeldorn;Europe (East);;
NAT-088;52,25;6,2;1928;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385687, ERR7385671;NL Appeldorn;Europe (Mideast);;
NAT-090;52,3;4,8667;1929;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385676, ERR7388228;diffuse;Europe (East);;
NAT-092;52,0167;6,1333;1930;L;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385667, ERR7385668;NL Appeldorn;Europe (West);;
NAT-100;53,3833;6,6833;1933;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385674, ERR7385678;diffuse;Europe (Mideast);;
NAT-103;51,4;5,9167;1934;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385682, ERR7385684;NL Appeldorn;Europe (Mideast);;
NAT-112;51,9833;6,8167;1939;L;Herbarium;Bieker et al., 2020;BEST (Bieker et al., 2020);NextSeq500 PE75;ERR3597479;NL Appeldorn;Europe (Mideast);;
NAT-118;51,9167;4,5;1939;L;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385675, ERR7385677;diffuse;Europe (Mideast);;
NEU-004;46,604436;6,229193;1893;NEU;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385672, ERR7385683;diffuse;Europe (West);;
NEU-009;45,630826;4,677214;1934;NEU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385688, ERR7385692;FR Lyon 1: St Galmier;Europe (Mideast);;
NEU-011;46,049304;5,340726;1937;NEU;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385690, ERR7385689;-;-;different species or hybrid;
NEU-022;45,075667;4,811439;1913;NEU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385694, ERR7396599;FR Lyon 1: St Galmier;Europe (Mideast);;
NEU-024;45,821246;5,851969;1936;NEU;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7385681;diffuse;Europe (Mideast);;
P-003;44,902942;-0,529623;1920;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385693;FR Bordaux;Europe (East);;
P-005A;45,678825;4,702644;1920;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412352;FR Lyon 1: St Galmier;Europe (Mideast);;
P-005B;45,678825;4,702644;1920;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7402414;FR Lyon 1: St Galmier;Europe (Mideast);;
P-005C;45,678825;4,702644;1920;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385685;FR Lyon 1: St Galmier;Europe (Mideast);;
P-009;46,406432;3,31107;1863;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385686;diffuse;Europe;;
P-016;44,902942;-0,529623;1930;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7386284;FR Bordaux;Europe;;
P-021;48,843323;2,360947;1830;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385691;diffuse;Europe (East);;
P-039D;46,153621;4,630976;1877;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385696;FR Lyon 2: Caluire;Europe;;
P-041;45,996171;3,981733;1876;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412436;FR Lyon 2: Caluire;Europe;;
P-042;45,996171;3,981733;1876;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412449;FR Lyon 2: Caluire;Europe;;
P-043A;45,996171;3,981733;1876;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412473;FR Lyon 2: Caluire;Europe;;
P-043B;45,996171;3,981733;1876;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412443;FR Lyon 2: Caluire;Europe;;
P-057;-33,047238;-71,612688;1851;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412459;-;-;different species or hybrid;
P-080;23,108716;-82,361562;1864;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7385695;-;-;different species or hybrid;
P-082;14,653445;-61,007507;1866;P;Herbarium;This study;This study (SCR);NovaSeq PE100;ERR7412356;-;-;different species or hybrid;
P-084B;46,030676;-74,206355;1939;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412370;diffuse;Mideast;;
P-084C;46,030676;-74,206355;1939;P;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7388227;diffuse;East;;
PH-100;26,834893;-81,092763;1930;PH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412348, ERR7412360;FL South;South;;
PH-15;39,940317;-75,396109;1888;PH;Herbarium;Martin et al., 2014;Sánchez Barreiro et al., 2017;MiSeq 150x1 bp;SRR4047199;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-16;39,903238;-75,349746;1900;PH;Herbarium;Martin et al., 2014;Sánchez Barreiro et al., 2017;MiSeq 150x1 bp;SRR4047201;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-18;39,939903;-75,27164;1895;PH;Herbarium;Martin et al., 2014;Sánchez Barreiro et al., 2017;MiSeq 150x1 bp;SRR4047203;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-20;40,05608;-75,221729;1924;PH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7394605;PA Philadelphia;East;;
PH-26;39,981408;-75,21246;1890;PH;Herbarium;Martin et al., 2014;Sánchez Barreiro et al., 2017;HiSeq2500 80x1 bp;SRR4047207;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-36;39,873865;-76,381345;1892;PH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeq2500 80x1 bp;SRR4047208;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-46;39,977732;-74,893641;1910;PH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412350, ERR7403726;PA Philadelphia;East;;
PH-6;40,694253;-75,220356;1886;PH;Herbarium;Martin et al., 2014;Sánchez Barreiro et al., 2017;MiSeq 150x1 bp;SRR4047197;-;-;Sequencing depth (MAPQ 25) < 0.1;
PH-84;44,742728;-65,512261;1921;PH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412359, ERR7412354;Nova Scotia West;East;;
PH-85;44,742728;-65,512261;1921;PH;Herbarium;Martin et al., 2014;This study (BEST);NovaSeq PE100;ERR7412365, ERR7412377;Nova Scotia West;East;;
PH-99;29,448328;-98,491287;1894;PH;Herbarium;Martin et al., 2014;NEBNext (Sánchez Bárreiro, 2016);HiSeq2500 80x1 bp;SRR4047211;-;-;different species or hybrid;
PR1-1973;48,9486111;17,3830556;1973;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412351;CR Brno;Europe (Mideast);;
PR13;50,19005611;14,67793944;1957;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7407593;CR Prague;Europe (Mideast);;
PR16;50,19005611;14,67793944;1961;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412349;CR Prague;Europe (Mideast);;
PR17;49,8413;14,574647;1967;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7410969;CR Prague;Europe (West);;
PR18;50,19005611;14,67793944;1959;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412379;CR Prague;Europe (Mideast);;
PR19-1971;50,3613347;13,8231908;1971;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412355;diffuse;Europe (Mideast);;
PR2-1946;49,6898775;14,0104253;1946;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412369;-;-;different species or hybrid;
PR4;50,08575;14,479944;1959;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412361;CR Prague;Europe (West);;
PR5;50,15790111;14,75428389;1954;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412366;CR Prague;Europe (West);;
PR8-1969;49,1536031;14,221575;1969;PR;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412358;diffuse;Europe (Mideast);;
PRA11-1964;50,6035056;15,3240347;1964;PRA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412367;CR Prague;Europe;;
PRA12-1964;50,6159556;15,1117994;1964;PRA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412362;CR Prague;Europe (Mideast);;
PRA14-1973;49,5874806;17,2572531;1973;PRA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412363;CR Brno;Europe (Mideast);;
PRA16-1963;50,9388603;15,1510864;1963;PRA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412357;diffuse;Europe (Mideast);;
PRC2-1955;49,9990486;15,9556578;1955;PRC;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412364;CR Prague;Europe (East);;
PRC3-1933;49,5938686;17,2508706;1933;PRC;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412368;CR Brno;Europe (Mideast);;
PRC4-1934;49,5938686;17,2508706;1934;PRC;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412371;CR Brno;Europe (Mideast);;
QFA-1A;46,814477;-71,207378;1937;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412374;Quebec;East;;
QFA-2A;46,784473;-71,236491;1931;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412375;Quebec;East;;
QFA-2B;46,784473;-71,236491;1931;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412395;Quebec;East;;
QFA-3;46,783213;-71,283033;1934;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412404;Quebec;Mideast;;
QFA-4;46,889051;-71,29855;1934;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412372;Quebec;East;;
QFA-5;46,412221;-71,234299;1931;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412376;Quebec;East;;
QFA-6;46,69674;-71,591273;1938;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412401;Quebec;East;;
QFA-7;46,786143;-71,250913;1932;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412392;Quebec;East;;
QFA-8;46,623552;-71,733026;1928;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412393;Quebec;East;;
QFA-9;46,749922;-71,46654;1936;QFA;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412380;Quebec;East;;
S-1;59,34267;18,06129;1882;S;Herbarium;This study;This study (BEST);HiSeqX PE150;ERR7412403;diffuse;Europe (Mideast);;
S-11;59,27273;15,21436;1917;S;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412378, ERR7412373;diffuse;Europe (West);;
S-13B;52,335556;13,493056;1918;S;Herbarium;This study;This study (BEST);HiSeq4000 PE150;ERR7412383;-;-;different species or hybrid;
S-14A;46,128348;5,375627;1918;S;Herbarium;This study;This study (BEST);NovaSeq PE100;ERR7412382, ERR7412381;diffuse;Europe (Mideast);;
